Location,Latitude,Longitude,Time,Temp_F
Kansas City US,39.0997,-94.5786,2023-08-04, 11:31:33,70
Denver US,39.7392,-104.9847,2023-08-04, 11:31:33,74
ELY MN,7.903237,-91.867087,2023-08-02 20:03:23,	80.71
